year,dep,prof_h,prof_m,conf_h,conf_m,espe_h,espe_m,admin_h,admin_m,auxadm_h,auxadm_m,obre_h,obre_m,obre_s,serv_h,serv_m,direct_h,direct_m
1976,ENAP,,,3,,10,12,10,19,5,5,,,,,,,
1976,FC,,,2,,6,59,25,33,10,9,,,,,,,
1976,FCPyS,10,8,4,7,8,31,44,25,6,,,,,,,,
1976,FCA,8,4,7,4,5,37,44,65,9,6,,,,,,,
1976,FD,5,,11,1,8,16,62,44,6,,,,,,,,
1976,ENE,8,1,10,7,11,27,50,30,8,,,,,,,,
1976,ENEO,,,4,5,2,2,14,18,12,,,,,,,,
1976,ffyl,4,,13,11,1,28,45,28,7,,,,,,,,
1976,FI,4,1,26,6,15,83,78,158,14,22,,,,,,,
1976,II,,,2,2,2,36,30,17,,51,,,,,,,
1976,FM ,16,12,32,22,29,101,191,158,61,13,,,,,,,
1976,FMVYZ,1,1,5,1,17,26,29,93,24,34,1,,,,,,
1976,ENM,,,2,1,,4,9,19,6,,,,,,,,
1976,ENO,5,10,18,12,132,60,47,195,23,18,,,,,,,
1976,FP,1,1,20,14,6,11,42,38,5,,,,,,,,
1976,FQ,2,3,7,11,11,54,48,110,21,8,,,,,,,
1976,ents,,,2,2,1,1,7,10,3,,,,,,,,
1976,EPE,,1,4,3,2,6,11,8,3,,,,,,,,
1976,CELE,1,,4,4,,7,12,6,2,,,,,,,,
1976,CUEC,,,5,,1,6,5,5,1,,,,,,,,
1976,ENEPC,4,3,6,9,1,45,60,149,35,10,,,,,,,
1976,ENEPAc,,2,13,17,2,6,36,83,24,11,,,,,,,
1976,ENEPI,1,2,12,12,11,39,16,39,118,29,9,,,,,,
1976,ENEPAr,2,1,5,10,8,,21,78,53,31,10,,,,,,
1976,ENEPZ,,,19,10,32,6,10,40,64,15,6,,,,,,
1976,ENP,9,3,16,8,239,118,337,308,584,80,106,,,,,,
1976,CCH,20,20,72,21,296,24,123,260,346,98,74,,,,,,
1977,CELU,5,,4,1,,,,,,,,,,,,,
1977,BN,12,3,1,,36,17,65,41,28,1,,,,,,,
1977,HN,,,1,,28,14,23,5,14,2,,,,,,,
1977,IIEc,1,,1,1,2,,6,20,4,4,,,,,,,
1977,IIE,4,6,2,,1,,1,8,6,,,,,,,,
1977,IIF,3,,,,1,1,3,13,3,1,,,,,,,
1977,IIH,,1,,,1,,,9,,2,,,,,,,
1977,IIJ,1,,1,1,2,,2,13,2,1,,,,,,,
1977,IIS,,,2,2,7,5,10,26,7,6,,,,,,,
1977,IIFilológicas,,,1,1,,,1,1,5,,,,,,,,
1977,CELiterarios,,,,,,1,,5,1,1,,,,,,,
1977,CELING,,,,,,,,3,,,,,,,,,
1977,Centro de Estudios clásicos,,,,,,,,,,4,,,,,,,
1977,CENTRO DE EST MAYAS,,,,1,3,,,3,1,2,,,,,,,
1977,IIAntropo,,,,,3,2,2,9,6,1,,,,,,,
1977,CIMateriales,1,,2,,11,,11,9,14,,1,,,,,,
1977,CEN,,,,2,11,,3,5,8,,,,,,,,
1977,Centro de instrumentos,,,3,1,6,,4,8,8,,19,,,,,,
1977,Centro de Informacion Cientifica y humanistica,,,3,,1,4,3,13,6,2,,,,,,,
1977,Centro de servicios de ocmputo,,,11,3,22,32,41,16,27,4,,,,,,,
1977,centro de ciencias del mar y limnologia,3,,5,2,4,,10,9,28,2,,,,,,,
1977,IA,,,2,1,5,1,1,10,14,2,2,,,,,,
1977,Obser Astr N San Pedro Martir BC,,,2,,,,5,2,4,4,8,,,,,,
1977,IB,,,,,15,4,23,27,25,12,1,,,,,,
1977,JB,1,,1,,2,,1,2,9,1,28,,,,,,
1977,tuxtlas,,,1,,1,,,,2,2,,,,,,,
1977,Chamela,,,,,,1,,,1,,,,,,,,
1977,if,,,3,,19,2,22,23,31,7,,,,,,,
1977,Igeofísica,26,2,1,,34,12,13,22,15,1,6,,,,,,
1977,Igeografía,4,1,1,1,6,2,,8,8,3,,,,,,,
1977,Igeología,3,,4,1,18,5,6,21,17,2,3,,,,,,
1977,CDICTNAM,1,,,,2,,,,1,,,,,,,,
1977,Of Reg Noro Hermosillo,,,,1,1,,1,,,,,,,,,,
1977,IIBIOMÉDICAS,2,1,2,1,4,4,19,24,25,7,3,,,,,,
1977,IM,,,,,2,3,3,3,6,2,,,,,,,
1977,IQ,,1,,,4,,3,4,11,1,3,,,,,,
1977,IIMAS,,1,,,5,3,6,14,7,2,,,,,,,
1977,II,,,2,2,22,1,48,31,40,6,47,,,,,,
1977,ENA,4,,5,4,7,5,33,68,70,3,2,,,,,,
1977,ENAP,,,2,,20,9,24,17,38,6,7,,,,,,
1977,FC,1,,1,,19,2,58,38,38,10,7,1,,,,,
1977,FCPyS,1,1,7,10,7,10,45,65,30,6,,,,,,,
1977,FCA,,,2,3,6,4,53,71,67,12,4,,,,,,
1977,FD,18,,11,,7,6,21,77,45,5,,,,,,,
1977,FE,7,1,14,9,15,11,32,50,37,9,,,,,,,
1977,ENEO,,,5,4,,3,5,16,17,15,1,,,,,,
1977,ffyl,3,8,13,7,1,2,35,54,25,7,,,,,,,
1977,FI,3,,17,11,51,16,125,96,144,18,20,,,,,,
1977,FM ,39,15,30,27,71,20,109,214,146,47,15,,,,,,
1977,FMVYZ,4,2,6,1,66,23,30,38,92,24,30,,,,,,
1977,ENM,1,,1,1,6,,6,8,20,3,18,,,,,,
1977,ENO,1,13,19,16,25,142,69,60,228,27,,,,,,,
1977,FP,1,,20,10,14,3,19,49,34,3,6,,,,,,
1977,FQ,3,3,6,11,58,14,55,54,116,26,,,,,,,
1977,ents,,,3,2,1,1,,11,10,3,,,,,,,
1977,EPE,1,3,3,4,,2,7,6,7,5,,,,,,,
1977,CELE,,,1,2,10,2,6,6,10,2,,,,,,,
1977,CUEC,,,5,,2,,4,5,6,1,,,,,,,
1977,ENEPC,34,10,15,19,14,5,25,62,40,64,30,,,,,,
1977,ENEPAc,,2,14,15,12,3,14,64,98,32,19,,,,,,
1977,ENEPI,1,2,10,8,16,65,45,72,176,59,44,,,,,,
1977,ENEPAr,,2,25,18,19,2,19,86,80,58,19,,,,,,
1977,ENEPZ,,,17,20,33,8,12,38,106,41,7,,,,,,
1977,ENP,10,6,9,7,218,122,386,304,563,86,105,,,,,,
1977,CCH,18,16,66,37,346,28,127,276,365,102,87,,,,,,
1978,CELU,5,4,3,2,,3,,2,,,,,,,,,
1978,BN,11,5,2,,38,18,65,40,30,1,,,,,,,
1978,HN,,,1,,25,14,22,6,15,1,,,,,,,
1978,IIEc,1,,1,1,4,,7,17,4,4,,,,,,,
1978,IIE,2,6,3,,1,,3,7,6,,,,,,,,
1978,IIF,2,,,,1,1,1,12,4,1,,,,,,,
1978,IIH,,2,,,1,,,9,,2,,,,,,,
1978,IIJ,1,,2,,1,,2,15,2,1,1,,,,,,
1978,IIS,1,,3,1,5,4,10,27,8,6,,,,,,,
1978,IIFilológicas,,,1,1,,,2,1,5,,1,,,,,,
1978,CELiterarios,,,,,,,,12,2,2,,,,,,,
1978,CELING,,,,,,2,,6,,,,,,,,,
1978,Centro de Estudios clásicos,,,,,,,,6,,,,,,,,,
1978,CENTRO DE EST MAYAS,,,,,6,,,4,2,4,,,,,,,
1978,IIAntropo,,4,2,2,2,6,4,16,12,2,,,,,,,
1978,CCAtmosfera,,,1,,,,,,,,,,,,,,
1978,CIMateriales,1,,2,2,14,,9,8,14,1,2,,,,,,
1978,CEN,,,1,1,11,,1,7,8,,,,,,,,
1978,Centro de instrumentos,,,3,1,6,,10,9,8,,22,,,,,,
1978,Centro de Informacion Cientifica y humanistica,,,4,1,2,3,3,12,6,3,,,,,,,
1978,Centro de servicios de ocmputo,4,,20,2,22,29,36,27,27,3,,,,,,,
1978,centro de ciencias del mar y limnologia,3,,5,2,7,,12,13,30,3,,,,,,,
1978,IA,,,3,,5,1,1,10,13,2,2,,,,,,
1978,Obser Astr N San Pedro Martir BC,,,2,1,1,,4,3,4,3,7,,,,,,
1978,IB,2,2,1,1,14,5,24,26,26,12,1,,,,,,
1978,JB,2,,1,,2,,,3,8,2,27,,,,,,
1978,tuxtlas,,,,1,1,,1,,3,1,,,,,,,
1978,Chamela,,,,,,1,,,2,1,,,,,,,
1978,if,,,2,,18,1,25,21,32,7,,,,,,,
1978,Igeofísica,26,2,1,,30,8,22,26,14,1,6,,,,,,
1978,Igeografía,4,1,1,1,6,2,,8,9,2,,,,,,,
1978,Igeología,2,,4,1,14,8,10,19,18,2,3,,,,,,
1978,CDICTNAM,1,,1,,2,,1,,,,,,,,,,
1978,IIBIOMÉDICAS,2,1,2,1,4,5,22,24,27,8,3,,,,,,
1978,IM,,,,,2,3,2,4,6,2,,,,,,,
1978,IQ,,1,,1,4,,2,5,11,4,3,,,,,,
1978,IIMAS,,1,,,4,5,6,14,9,3,,,,,,,
1978,II,11,,1,2,23,,47,32,46,8,45,,,,,,
1978,ENA,3,1,11,5,7,4,31,74,72,,2,,,,,,
1978,ENAP,,,6,1,18,10,25,15,38,7,8,,,,,,
1978,FC,1,1,,1,20,4,79,58,74,22,10,,,,,,
1978,FCPyS,9,3,11,6,6,11,37,59,34,7,,,,,,,
1978,FCA,17,5,7,3,4,5,34,65,67,14,5,,,,,,
1978,FD,20,,7,1,7,7,21,83,44,6,,,,,,,
1978,FE,8,1,15,10,15,12,17,68,42,11,,,,,,,
1978,ENEO,,1,5,5,,3,4,17,20,12,1,,,,,,
1978,ffyl,7,11,11,6,4,2,40,47,24,9,,,,,,,
1978,FI,9,,34,19,55,13,84,93,135,16,19,,,,,,
1978,FM ,37,4,36,31,71,19,138,233,159,48,14,,,,,,
1978,FMVYZ,5,2,4,1,71,23,33,45,95,24,33,1,,,,,
1978,ENM,1,,2,2,6,,7,8,18,5,,,,,,,
1978,FO,1,15,19,16,22,129,75,58,216,26,18,,,,,,
1978,FP,6,4,9,10,13,3,16,36,38,4,,,,,,,
1978,FQ,2,4,8,10,52,14,65,53,114,24,6,,,,,,
1978,ents,,,2,3,1,1,1,11,10,3,,,,,,,
1978,EPE,3,3,2,7,,1,7,8,6,5,,,,,,,
1978,CELE,1,2,1,3,10,1,9,11,12,3,,,,,,,
1978,CUEC,,,6,1,2,,6,5,6,1,,,,,,,
1978,ENEPC,31,7,13,19,14,5,35,72,159,43,44,,,,,,
1978,ENEPAc,,2,26,20,23,6,17,82,111,39,20,,,,,,
1978,ENEPI,1,3,17,6,25,71,48,71,186,58,45,,,,,,
1978,ENEPAr,,3,26,17,13,2,21,83,75,57,18,,,,,,
1978,ENEPZ,,,21,28,30,8,25,39,102,37,7,,,,,,
1978,ENP,10,6,13,5,212,117,404,307,548,89,92,2,,,,,
1978,CCH,16,18,84,48,171,24,280,362,382,120,89,,,,,,
1979,CELU,5,5,5,2,,3,1,2,,,,,,,,,
1979,BN,12,5,,1,45,33,52,26,32,,,,,,,,
1979,HN,,,2,,34,15,13,6,17,1,,,,,,,
1979,IIEc,1,,2,3,4,1,4,22,4,3,,,,,,,
1979,IIE,2,4,1,1,2,,1,10,8,,,,,,,,
1979,IIF,,,,2,3,2,1,13,4,2,,,,,,,
1979,IIH,,3,,1,1,2,,5,1,2,,,,,,,
1979,IIJ,,,1,1,2,1,,12,2,2,1,1,,,,,
1979,IIS,1,,2,1,5,2,9,27,8,5,,,,,,,
1979,IIFilológicas,1,,,1,,,2,3,5,,,,,,,,
1979,CELiterarios,,,,,,1,,5,1,1,,,,,,,
1979,CELING,,,,,,,,2,,,,,,,,,
1979,Centro de Estudios clásicos,,,,1,1,,1,2,1,1,,,,,,,
1979,CENTRO DE EST MAYAS,,,,,3,,,2,1,2,,,,,,,
1979,IIAntropo,,3,,1,4,3,2,10,5,2,,,,,,,
1979,CCAtmosfera,,,1,1,5,2,1,6,3,,,,,,,,
1979,CIMateriales,2,1,2,1,19,,5,8,13,1,1,,,,,,
1979,CEN,,,2,3,12,,2,5,6,,,,,,,,
1979,Centro de instrumentos,,,2,1,9,,4,9,9,,25,,,,,,
1979,Centro de Informacion Cientifica y humanistica,,,3,3,1,2,3,10,7,2,,,,,,,
1979,Centro de servicios de ocmputo,3,,30,5,34,36,21,20,24,4,,,,,,,
1979,centro de ciencias del mar y limnologia,2,,4,3,8,,9,14,30,3,1,,,,,,
1979,IA,,,1,1,7,3,,8,15,5,1,,,,,,
1979,Obser Astr N San Pedro Martir BC,3,,3,,,,1,2,7,4,8,,,,,,
1979,IB,3,2,3,2,30,8,10,22,24,12,1,,,,,,
1979,JB,,1,1,,2,1,1,4,8,1,27,,,,,,
1979,tuxtlas,,,,1,1,,,1,3,1,,,,,,,
1979,Chamela,1,,,,,1,,,3,1,,,,,,,
1979,if,4,,2,,24,,23,29,10,,,,,,,,
1979,Igeofísica,12,2,1,,33,11,13,7,5,6,,,,,,,
1979,Igeografía,3,1,,3,4,2,7,8,3,,,,,,,,
1979,Igeología,2,,2,4,19,5,20,21,2,3,,,,,,,
1979,CDICTNAM,1,,,,1,,,1,,,,,,,,,
1979,OFRegNoro Hermosnillo,,,,1,1,,,,,,,,,,,,
1979,IIBIOMÉDICAS,1,2,4,2,8,10,21,31,10,3,,,,,,,
1979,IM,,,1,,2,3,4,7,3,,,,,,,,
1979,IQ,,1,1,1,2,,5,9,5,3,,,,,,,
1979,IIMAS,,,,2,6,6,15,14,4,,,,,,,,
1979,II,12,4,4,2,39,1,28,50,10,55,,,,,,,
1979,ENA,6,,14,5,18,4,80,88,1,3,,,,,,,
1979,ENAP,,,8,2,24,12,17,37,7,10,,,,,,,
1979,FC,1,,2,2,43,6,54,77,30,14,1,,,,,,
1979,FCPyS,15,7,16,20,8,15,51,38,10,,,,,,,,
1979,FCA,19,4,9,1,13,5,63,61,15,5,,,,,,,
1979,FD,18,,11,4,8,12,77,52,6,,,,,,,,
1979,FE,7,1,26,10,16,13,75,40,10,,,,,,,,
1979,ENEO,,,5,5,1,3,19,16,14,2,,,,,,,
1979,ffyl,7,10,15,7,15,5,48,27,13,,,,,,,,
1979,FI,17,1,40,24,94,15,90,146,25,25,,,,,,,
1979,FM ,78,29,36,35,130,34,218,186,53,13,,,,,,,
1979,FMVYZ,8,3,9,1,94,25,32,94,22,32,4,,,,,,
1979,ENM,2,,4,3,10,,4,9,21,7,1,,,,,,
1979,FO,5,12,33,18,42,141,46,48,206,18,25,,,,,,
1979,FP,1,2,11,14,17,9,11,32,45,5,,,,,,,
1979,FQ,11,4,5,10,77,21,23,47,132,21,10,,,,,,
1979,ents,,,5,9,2,1,2,11,11,2,,,,,,,
1979,EPE,2,3,4,12,1,1,5,7,9,3,,,,,,,
1979,CELE,1,2,5,2,10,,5,11,12,3,,,,,,,
1979,CUEC,,,4,1,4,,2,5,7,1,,,,,,,
1979,ENEPC,75,13,35,25,29,9,23,61,161,47,41,1,,,,,
1979,ENEPAc,1,2,34,23,38,11,17,113,118,56,30,2,,,,,
1979,ENEPI,,4,35,15,31,78,49,73,205,67,42,,,,,,
1979,ENEPAr,7,4,25,18,13,2,15,80,91,65,28,,,,,,
1979,ENEPZ,,,31,21,41,22,25,52,157,70,12,,,,,,
1979,ENP,21,11,25,5,229,103,319,315,575,109,109,,,,,,
1979,CCH,27,21,117,65,389,52,84,343,414,157,107,,,,,,
1980,IIBiblio,6,3,15,7,85,46,63,35,45,1,1,,,,,,
1980,IIEc,3,1,15,5,4,1,6,22,4,4,,,,,,,
1980,IIE,1,6,3,3,2,,3,10,8,,,,,,,,
1980,IIF,2,3,1,5,2,1,,12,4,1,,,,,,,
1980,IIH,,7,2,2,1,2,,8,3,2,,,,,,,
1980,IIJ,5,2,8,7,5,3,1,16,6,7,1,,,,,,
1980,IIS,1,,7,3,6,1,8,28,8,6,,,,,,,
1980,IIFilológicas,1,2,5,11,5,4,2,15,8,5,1,1,,,,,
1980,IIAntropo,1,6,5,3,8,3,1,11,5,2,,,,,,,
1980,IA,6,,14,1,10,3,1,10,22,7,8,1,,,,,
1980,IB,5,4,13,3,28,9,15,22,41,11,20,,,,,,
1980,if,6,,10,1,33,1,12,22,29,6,,,,,,,
1980,Igeofísica,13,3,7,1,34,12,11,12,12,2,6,,,,,,
1980,Igeografía,3,1,7,6,6,2,1,7,8,3,,,,,,,
1980,Igeología,5,1,14,5,31,4,6,23,21,1,3,,,,,,
1980,IIBIOMÉDICAS,3,2,14,5,12,9,8,23,33,13,2,,,,,,
1980,IM,,,7,,5,4,1,4,9,3,,,,,,,
1980,IQ,1,1,3,2,4,,2,5,10,5,3,,,,,,
1980,IIMAS,1,,9,4,6,5,1,15,14,4,,,,,,,
1980,II,20,2,20,3,41,3,13,26,50,7,56,,,,,,
1980,IIMateriales,1,1,10,,27,,6,5,18,3,,,,,,,
1980,ENA,10,,93,19,19,4,9,68,81,4,3,,,,,,
1980,ENAP,1,,19,5,28,12,16,23,53,14,12,,,,,,
1980,FC,1,1,8,10,56,4,56,49,77,37,16,1,,,,,
1980,FCPyS,12,14,40,41,11,16,35,54,39,16,,,,,,,
1980,FCA,23,3,12,2,20,3,25,65,64,16,5,,,,,,
1980,FD,16,,19,7,9,9,24,68,51,7,,,,,,,
1980,FE,9,1,42,21,13,12,15,66,41,13,,,,,,,
1980,ENEO,0,,12,13,2,3,5,16,18,15,2,,,,,,
1980,ffyl,16,10,46,19,21,5,25,47,34,10,,,,,,,
1980,FI,48,10,136,39,114,13,35,106,153,36,30,,,,,,
1980,FM ,78,43,115,56,132,35,68,196,189,56,13,,,,,,
1980,FMVYZ,10,2,43,10,116,26,23,31,95,23,35,3,,,,,
1980,ENM,1,,6,5,10,,4,9,20,8,1,,,,,,
1980,FO,9,14,60,25,47,135,49,39,196,18,24,,,,,,
1980,FP,6,7,29,35,20,9,8,42,40,7,,,,,,,
1980,FQ,11,4,55,27,117,24,39,43,141,43,8,,,,,,
1980,ents,2,,11,10,6,,5,11,14,7,,,,,,,
1980,CELE,,3,5,9,10,,5,15,13,4,,,,,,,
1980,ENEPAc,,2,89,55,47,9,34,94,116,53,31,3,,,,,
1980,ENEPAr,8,3,48,23,19,8,18,122,104,71,30,,,,,,
1980,ENEPC,93,18,106,49,42,11,35,63,169,50,64,1,,,,,
1980,ENEPI,15,8,95,23,85,73,71,76,186,56,43,2,,,,,
1980,ENEPZ,25,15,134,57,92,37,34,10,205,95,35,1,,,,,
1980,ENP,10,2,166,76,307,104,356,199,548,91,107,2,,,,,
1980,CCH,33,13,257,97,409,46,169,260,418,132,108,,,,,,
1980,CUEC,30,10,47,43,6,,5,4,9,1,,,,,,,
