dep,general,id
bn,biblioteca nacional,1
ccatmosfera,centro de ciencias de la atmosfera,2
cce,instituto de investigaciones en matematicas aplicadas y sistemas,3
cch,cch,4
cdiciencias de la tierra,centro de ciencias de la tierra,5
cdictnam,centro de ciencias de la tierra,5
ce mayas,centro de estudios mayas,6
cefilosoficos,instituto de investigaciones filosoficas,7
cele,cele,8
celing,centro de estudios en linguistica hispanica,9
celinguisticos,centro de estudios en linguistica hispanica,9
celingustica h,centro de estudios en linguistica hispanica,9
celiterarios,centro de estudios literarios,10
celu,centro de estudios sobre la universidad,11
cen,centro de estudios nucleares,12
centro de calculo electronico,instituto de investigaciones en matematicas aplicadas y sistemas,3
centro de ceincias de la atmosfera,centro de ciencias de la atmosfera,2
centro de ciencias del mar y limnologia,centro de ciencias del mar y limnologia,13
centro de est mayas,centro de estudios mayas,6
centro de estudios clasicos,centro de estudios clasicos,14
centro de estudios filosoficos,instituto de investigaciones filosoficas,7
centro de estudios mayas,centro de estudios mayas,6
centro de informacion cientifica y humanistica,centro de informacion cientifica y humanistica,15
centro de informacion ientifica y humanistica,centro de informacion cientifica y humanistica,15
centro de instrumentos,centro de instrumentos,16
centro de linguistica hispanica,centro de linguistica hispanica,17
centro de servicios de computo,centro de servicios de computo,18
centro de servicios de ocmputo,centro de servicios de computo,18
centro de trad lc,centro de estudios clasicos,14
centro scomputo,centro de servicios de computo,18
centro trad leng clasicas,centro de estudios clasicos,14
chamela,estacion de investigacion chamela,19
ci arq,centro de investigaciones en arquitectura,20
ci arqu,centro de investigaciones en arquitectura,20
ci arquitectonicas,centro de investigaciones en arquitectura,20
ci de materiales,instituto de investigaciones en materiales,21
ci materiales,instituto de investigaciones en materiales,21
cimass,instituto de investigaciones en matematicas aplicadas y sistemas,3
cimateriales,instituto de investigaciones en materiales,21
ctradlenguas clas,centro de estudios clasicos,14
cuec,cuec,22
depto e fisica,depto educacion fisica,23
depto ef,depto educacion fisica,23
eim carmen,estacion de investigacion carmen,24
eim mazatlan,estacion de investigacion mazatlan,25
emb,instituto de investigaciones biomedicas,26
en trabajo social,ents,27
ena,facultad de arquitectura,28
enap,enap,29
enca,facultad de contaduria y administracion,30
encpys,fcpys,31
encq,facultad de quimica,32
ene,facultad de economia,33
eneo,eneo,34
enep acatlan,enep acatlan,35
enep actlan,enep acatlan,35
enep cuautitlan,enep cuautitlan,36
enep iztacala,enep iztacala,37
enep ztacala,enep iztacala,37
enepac,enep acatlan,35
enepar,enep aragon,38
enepc,enep cuautitlan,36
enepi,enep iztacala,37
enepz,enep zaragoza,39
enesa,enep aragon,38
eni,facultad de ingenieria,40
enm,escuela nacional de musica,41
enmed,facultad de medicina,42
enmusica,escuela nacional de musica,41
enmvz,fmvz,43
enmz,fmvz,43
eno,fo,44
enp,enp,45
ents,ents,27
epe,escuela para extranjeros,46
escuela nacional de arquitectura,facultad de arquitectura,28
escuela nacional de enfermeria y obstetricia,eneo,34
escuela nacional de musica,escuela nacional de musica,41
escuela nacional de odontologia,fo,44
estacion de investigaciones marinas el carmen,estacion de investigacion carmen,24
f medicina,facultad de medicina,42
f medicina veterinaria y zootecnia,fmvz,43
f piscologia,facultad de psicologia,47
f quimica,facultad de quimica,32
facultad de ciencias,facultad de ciencias,48
facultad de ciencias politicas y sociales,fcpys,31
facultad de economia,facultad de economia,33
fc,facultad de ciencias,48
fca,facultad de contaduria y administracion,30
fcpys,fcpys,31
fcya,facultad de contaduria y administracion,30
fd,facultad de derecho,49
fderecho,facultad de derecho,49
fe,facultad de economia,33
ffyl,ffyl,50
fi,facultad de ingenieria,40
fm,facultad de medicina,42
fmvyz,fmvz,43
fmvz,fmvz,43
fo,fo,44
fp,facultad de psicologia,47
fq,facultad de quimica,32
hn,hemeroteca nacional,51
ia,instituto de astronomia,52
ib,instituto de biologia,53
ib/jb,instituto de biologia,53
ibio,instituto de biologia,53
id comparado,instituto de investigaciones juridicas,54
idcomparado,instituto de investigaciones juridicas,54
ief,instituto de investigaciones filosoficas,7
iemb,instituto de investigaciones biomedicas,26
if,instituto de fisica,55
igeofisica,instituto de geofisica,56
igeogisica,instituto de geofisica,56
igeografia,instituto de geografia,57
igeologia,instituto de geologia,58
ih,instituto de investigaciones historicas,59
ii,instituto de ingenieria,60
iiantropo,instituto de investigaciones antropologicas,61
iiantropologia,instituto de investigaciones antropologicas,61
iib,instituto de investigaciones bibliograficas,62
iibiblio,instituto de investigaciones bibliograficas,62
iibio,instituto de biologia,53
iibiomedicas,instituto de investigaciones biomedicas,26
iie,instituto de investigaciones esteticas,63
iiec,instituto de investigaciones economicas,64
iif,instituto de investigaciones filosoficas,7
iifilologicas,instituto de investigaciones filologicas,65
iih,instituto de investigaciones historicas,59
iij,instituto de investigaciones juridicas,54
iimas,instituto de investigaciones en matematicas aplicadas y sistemas,3
iimateriales,instituto de investigaciones en materiales,21
iis,instituto de investigaciones sociales,66
im,instituto de medicina,67
imat,instituto de matematicas,68
imb,instituto de investigaciones biomedicas,26
iq,instituto de quimica,69
jb,jardin botanico,70
lab nuclear,centro de estudios nucleares,12
ln,centro de estudios nucleares,12
oan,observatorio astronomico nacional,71
obser astr n san pedro martir bc,observatorio astronomico nacional,71
observatorio astronomico nacional,observatorio astronomico nacional,71
of reg noro hermosillo,oficina regional noroeste hermosillo,72
oficreg noro hermosillo,oficina regional noroeste hermosillo,72
ofregnoro hermosnillo,oficina regional noroeste hermosillo,72
santropologia,instituto de investigaciones antropologicas,61
satropologia,instituto de investigaciones antropologicas,61
seccion antropologia,instituto de investigaciones antropologicas,61
sem estudio escritura maya,centro de estudios mayas,6
tuxtlas,centro de investigacion tuxtlas,73
