year,dep,eme_h,eme_m,tctita_h,tctita_m,tctib_h,tctib_m,tctic_h,tctic_m,mctia_h,mctia_m,mctib_h,mctib_m,mctic_h,mctic_m,tcasa_h,tcasa_m,tcasb_h,tcasb_m,tcasc_h,tcasc_m,mcasa_h,mcasa_m,mcasb_h,mcasb_m,mcasc_h,mcasc_m,ay_h,ay_m,tec_h,tec_m
1960,ENA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,ENAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,FC,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,FCPyS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,ENCQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,ENCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,FD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,ENE,,,29,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,ENEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,FFyL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,ENI,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,ENMed,,,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,ENM,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,ENO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,ENMVZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,ENP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,Centro de estudios filosóficos,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,IH,,,9,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,
1960,IM,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,IF,,,13,,,,,,,,,,,,,,,,,,,,,,,,2,2,,
1960,IDComparado,,,4,1,,,,,,,,,,,,,,,,,,,,,,,1,3,,
1960,IQ,,,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,Igeología,,,5,2,,,,,,,,,,,,,,,,,,,,,,,8,3,,
1960,Igeofísica,,,3,,,,,,,,,,,,,,,,,,,,,,,,7,10,,
1960,Igeografía,,,,3,,,,,,,,,,,,,,,,,,,,,,,1,2,,
1960,IB,,,7,6,,,,,,,,,,,,,,,,,,,,,,,1,1,,
1960,IMB,,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,IIS,,,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,IIE,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,Observatorio Astronómico Nacional,1,,3,,,,,,,,,,,,,,,,,,,,,,,,2,1,,
1960,BN,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,HN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,Depto E Física,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,FFyL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,FI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,FM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,ENCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,ENE,,,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,ENM,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,IB,,,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,ID Comparado,,,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,CEFilosoficos,,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,IEMB,,,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,IF,,,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,Igeología,,,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,igeografía,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,igeofísica,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,IH,,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,IIE,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,IIS,,,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,Imat,,,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,IQ,,,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,BN,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,OAN,1,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,ENE,,,4,,3,2,,,,,,,,,,,,,,,,,,,,,,,,
1963,CEFilosoficos,,,4,,,0,,,,,,,,,,,1,,,,,,,,,,,,,
1963,IB,,,6,5,2,1,,,1,,,,,,,,,,,,,,,,,,,,,
1963,IDComparado,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,
1963,IEMB,,,7,,2,3,,,,,1,1,,,,,2,,,,,,3,1,,,,,,
1963,IF,,,8,,10,0,,,,,,,,,,,,,,,,,8,2,,,,,,
1963,Igeofísica,,,2,,7,1,,,,,1,,,,,,,,,,,,1,,,,,,,
1963,Igeografía,,,,,,2,,,,,,,,,,,,2,,,,,,2,,,,,,
1963,Igeología,,,7,,1,1,,,,,11,1,,,,,,,,,,,3,2,,,,,,
1963,IH,,,6,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,
1963,IIE,,,2,,1,0,,,,,2,2,,,,,,,,,,,4,1,,,,,,
1963,IIS,,,1,,2,0,,,,,,,,,,,2,1,,,,,1,,,,,,,
1963,IM,,,7,,2,0,,,,,1,,,,,,3,,,,,,,,,,,,,
1963,IQ,,,11,,4,3,,,,,,,,,,,,,,,,,,,,,,,,
1963,BN,,,1,,1,0,,,1,,,,,,,,,,,,,,,,,,,,,
1963,OAN,1,,4,,1,0,,,,,,,,,,,,,,,,,1,1,,,,,,
1964,ENE,,,5,,3,2,,,,,,,,,,,,,,,,,,,,,,,,
1964,CEFilosoficos,,,5,,2,,,,,,,,,,,,1,,,,,,,,,,,,,
1964,IB,,,7,5,1,2,,,,,,2,,,,,1,,,,,,3,2,,,,,,
1964,IDComparado,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964,IEMB,,,7,,3,1,,,1,,3,2,,,,,2,1,,,,,10,4,,,,,,
1964,IF,,,10,,12,,,,,,5,1,,,,,2,,,,,,4,4,,,,,,
1964,Igeofísica,,,3,1,9,1,,,,,1,,,,,,2,,,,,,1,,,,,,,
1964,Igeografía,,,1,,,3,,,,,,,,,,,,2,,,,,,2,,,,,,
1964,Igeología,,,7,,2,1,,,2,,4,,,,,,4,1,,,,,3,2,,,,,,
1964,IH,,,6,,1,1,,,1,,,,,,,,,,,,,,9,5,,,,,,
1964,IIE,,,,,1,,,,,1,2,3,,,,,,,,,,,6,1,,,,,,
1964,IIS,,,1,,2,1,,,,,,,,,,,1,1,,,,,1,,,,,,,
1964,IM,,,7,,2,,,,,,1,,,,,,4,,,,,,,,,,,,,
1964,IQ,,,12,,4,3,,,,,,,,,,,,,,,,,,,,,,,,
1964,BN,,,2,,2,,,,,,,,,,,,,,,,,,1,1,,,,,,
1964,OAN,,,5,,3,,,,,,,,,,,,,,,,,,2,1,,,,,,
1965,IB,,,4,6,2,1,,,,,,2,,,,,2,,,,,,3,1,,,,,,
1965,IEMB,,,6,,4,2,,,,,3,2,,,,,,2,,,,,8,4,,,,,,
1965,IF,,,10,,16,,,,2,,,,,,,,2,,,,,,5,2,,,,,,
1965,Igeofísica,,,3,1,13,1,,,,,2,,,,,,,,,,,,1,,,,,,,
1965,Igeografía,,,,1,,3,,,,,,,,,,,,2,,,,,,3,,,,,,
1965,Igeología,,,7,,2,1,,,2,,4,,,,,,4,2,,,,,3,,,,,,,
1965,im,,,7,,2,,,,,,1,,,,,,5,,,,,,,,,,,,,
1965,iq,,,12,,4,3,,,,,,,,,,,,,,,,,,,,,,,,
1965,oan,1,,4,,4,,,,,,,,,,,,,,,,,,1,1,,,,,,
1965,CEFilosoficos,,,5,,2,,,,,,1,,,,,,,,,,,,,,,,,,,
1965,bn,,,2,,2,,,,,,,,,,,,,,,,,,,1,,,,,,
1965,IDComparado,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,iie,,,,,,,,,,,2,1,,,,,,,,,,,4,3,,,,,,
1965,iih,,,6,,1,1,,,1,1,,,,,,,,1,,,,,11,4,,,,,,
1965,iis,,,1,,2,1,,,,,,,,,,,1,1,,,,,1,,,,,,,
1965,fc,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
1965,ene,,,6,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
1965,ffyl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,fm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,CEFilosoficos,,,6,1,4,4,,,,,,,,,,,3,1,,,,,,,,,,,,
1966,IDComparado,,,3,,,,,,,,2,,,,,,1,,,,,,,,,,,,,
1966,iie,,,2,,,,,,,,2,1,,,,,,,,,,,4,3,,,,,,
1966,iih,,,5,2,1,,,,1,1,,,,,,,,,,,,,11,5,,,,,,
1966,iis,,,2,1,1,1,,,,,,,,,,,1,,,,,,,1,,,,,,
1966,bn,,,1,,2,2,,,,,,,,,,,1,1,,,,,,1,,,,,,
1966,IB,,,5,5,1,,,,,,1,2,,,,,,,,,,,2,1,,,,,,
1966,IEMB,,,7,1,3,1,,,2,,4,2,,,,,3,,,,,,3,4,,,,,,
1966,IF,,,8,,4,3,,,2,,,1,,,,,4,,,,,,8,1,,,,,,
1966,Igeofísica,,,1,1,11,,,,,,1,,,,,,2,,,,,,3,,,,,,,
1966,Igeografía,,,,,14,1,,,,,,,,,,,,,,,,,,3,,,,,,
1966,Igeología,,,7,,,3,,,1,,4,,,,,,,2,,,,,4,1,,,,,,
1966,im,,,7,,2,1,,,,,,,,,,,4,2,,,,,,,,,,,,
1966,iq,,,10,,2,2,,,,,,,,,,,5,,,,,,,,,,,,,
1966,oan,,,4,,4,3,,,,,,,,,,,,,,,,,1,1,,,,,,
1966,jb,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
1966,ene,,,4,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
1966,ffyl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,fm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,FC,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
1967,ENE,,,6,,,,,,1,,,,,,,,,,,,,,,,,,,,,
1967,IDComparado,,,3,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,
1967,IEF,,,6,,2,,,,1,,,,,,,,,,,,,,,,,,,,,
1967,IIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,IIH,,,3,1,2,,,,,1,2,1,,,,,2,1,,,,,4,,,,,,,
1967,IIS,,,4,,3,1,,,,2,,,,,,,1,,,,,,,,,,,,,
1967,CELinguisticos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,Satropología,1,,1,,,,,,,,,,,,,,,,,,,,3,,,,,,,
1967,BN,,,1,,1,,,,,,1,,,,,,1,1,,,,,2,,,,,,,
1967,Centro de Calculo Electrónico,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,IB,,,5,5,3,1,,,,,1,1,,,,,6,,,,,,4,1,,,,,,
1967,EMB,,,8,,6,3,,,2,,1,2,,,,,6,2,,,,,2,2,,,,,,
1967,IF,,,10,,12,,,,2,,,1,,,,,7,,,,,,4,2,,,,,,
1967,Igeofísica,,,1,1,13,1,,,,,,,,,,,,,,,,,,,,,,,,
1967,Igeografía,,,,,,3,,,,,,,,,,,2,2,,,,,,3,,,,,,
1967,Igeología,,,6,,2,1,,,,,4,,,,,,4,2,,,,,2,1,,,,,,
1967,IM,,,8,,3,,,,1,,,,,,,,5,,,,,,,,,,,,,
1967,IQ,,,9,,3,2,,,,,,,,,,,1,,,,,,,,,,,,,
1967,OAN,,,6,,2,,,,,,,,,,,,,,,,,,1,1,,,,,,
1968,CELiterarios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,CELingustica H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,Centro de traducción de lenguas clásicas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,Sem Estudio Escritura Maya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,BN,,,1,,1,,,,1,,2,1,,,,,,,,,,,,,,,,,,
1968,IIEc,,,6,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,
1968,IIE,,,2,1,,,,,3,1,1,2,,,,,,,,,,,,,,,,,,
1968,IIF,,,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,
1968,IIH,,,1,1,2,,,,1,1,3,2,,,,,2,1,,,,,,,,,,,,
1968,Santropología,1,,1,,,,,,,,2,,,,,,1,,,,,,,,,,,,,
1968,IIJ,1,,1,,1,1,,,2,,,,,,,,1,,,,,,,,,,,,,
1968,IIS,,,3,,3,1,,,,,,2,,,,,1,,,,,,,,,,,,,
1968,CCE,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
1968,Lab Nuclear,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,IA,,,10,1,6,,,,,,,,,,,,1,,,,,,1,1,,,,,,
1968,IB,,,17,8,5,5,,,,,,,,,,,3,1,,,,,3,1,,,,,,
1968,IF,,,37,2,12,,,,2,,1,1,,,,,8,,,,,,6,2,,,,,,
1968,Igeofísica,,,14,2,1,1,,,,,,,,,,,12,1,,,,,,,,,,,,
1968,Igeografía,,,3,6,,,,,,,,,,,,,,2,,,,,,2,,,,,,
1968,Igeología,,,19,4,6,,,,1,,,,,,,,2,2,,,,,6,1,,,,,,
1968,IIBIOMÉDICAS,,,24,6,7,,,,2,,,,,,,,7,2,,,,,3,3,,,,,,
1968,IM,,,15,,7,,,,,,,,,,,,4,,,,,,,,,,,,,
1968,IQ,,,11,3,9,,,,,,,,,,,,1,3,,,,,,,,,,,,
1969,BN,,,1,,1,,,,,,1,1,,,,,1,1,,,,,3,1,,,,,,
1969,IIEc,,,7,,,,,,,,,,,,,,,,,,,,1,,,,,,,
1969,IIE,,,2,,,1,,,,,3,1,,,,,,,,,,,2,2,,,,,,
1969,IIF,,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,
1969,IIH,1,,2,,3,1,,,,,,1,,,,,2,1,,,,,5,2,,,,,,
1969,IIJ,1,,1,,1,1,,,,1,1,,,,,,1,,,,,,1,,,,,,,
1969,IIS,1,,3,1,3,1,,,,,,,,,,,1,,,,,,,1,,,,,,
1969,IA,,,7,,2,,,,,,,,,,,,1,,,,,,,,,,,,,
1969,IB,,,6,6,3,1,,,,,,1,,,,,5,,,,,,4,1,,,,,,
1969,IF,,,13,,10,1,,,1,,,1,,,,,6,,,,,,7,,,,,,,
1969,Igeofísica,,,1,1,12,1,,,,,,,,,,,,,,,,,,,,,,,,
1969,Igeografía,,,,,,3,,,,,1,,,,,,2,2,,,,,3,2,,,,,,
1969,Igeología,,,6,,2,1,,,1,,1,,,,,,2,3,,,,,2,1,,,,,,
1969,IIBIOMÉDICAS,,,8,,12,4,,,2,,1,2,,,,,3,1,,,,,1,1,,,,,,
1969,Imat,1,,8,,4,,,,,,,,,,,,3,,,,,,,,,,,,,
1969,IQ,,,8,,1,2,,,,,,,,,,,,,,,,,,,,,,,,
1970,IIBiblio,,,1,,1,,,,,,1,1,,,,,1,1,,,,,4,2,,,,,,
1970,IIEc,,,6,,,1,,,1,,,,,,,,1,1,,,,,3,1,,,,,,
1970,IIE,,,1,,,1,,,,,4,1,,,,,,,,,,,1,3,,,,,,
1970,IIF,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,IIH,1,,2,1,3,1,,,,,1,1,,,,,2,1,,,,,2,4,,,,,,
1970,IIJ,1,,1,,1,1,,,1,,1,,,,,,1,,,,,,,,,,,,,
1970,IIS,,,1,,4,,,,,,,,,,,,1,,,,,,,2,,,,,,
1970,IA,,,7,,2,,,,1,,,,,,,,3,,,,,,,,,,,,,
1970,IB,,,7,4,3,,,,,,,,,,,,9,,,,,,,,,,,,,
1970,IF,,,15,,11,1,,,1,,,1,,,,,8,,,,,,4,,,,,,,
1970,Igeofísica,,,1,2,12,1,,,,,,,,,,,,,,,,,,,,,,,,
1970,Igeografía,,,,,1,3,,,,,,,,,,,2,3,,,,,1,1,,,,,,
1970,Igeología,,,4,,6,2,,,1,,2,,,,,,3,2,,,,,2,,,,,,,
1970,IIBIOMÉDICAS,,,9,,12,4,,,1,,1,2,,,,,3,2,,,,,1,1,,,,,,
1970,Imat,,,9,,4,,,,,,,,,,,,2,,,,,,,,,,,,,
1970,IQ,,,7,,1,2,,,,,,,,,,,,,,,,,,,,,,,,
1971,CELiterarios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,CELing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,CTradLenguas Clas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,CE Mayas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,BN,,,1,,1,,3,,,,1,1,2,2,,,,,,,,,,,,,,,,
1971,IIEc,,,6,1,,,1,1,2,,,,,,,,,,,,,,,,,,,,,
1971,IIE,,,1,1,,3,1,,,,3,,,1,,,,,,,,,,,,,,,,
1971,IIF,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,IIH,,,,1,1,,2,1,,1,,,1,4,,,,,,,,,,,,,,,,
1971,Sección Antropología,1,,2,,4,1,,,,,,,1,,,,,,,,,,,,,,,,,
1971,IIJ,1,,1,1,2,,1,,,,,,,,,,,,,,,,,,,,,,,
1971,IIS,,,1,,6,,,2,,,,,1,,,,,,,,,,,,,,,,,
1971,CCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,CI Materiales,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
1971,IA,,,7,,3,,2,,1,,,,,,,,,,,,,,,,,,,,,
1971,JB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,IF,,,17,,10,1,,,1,,,1,2,1,,,,,,,,,,,,,,,,
1971,Igeofísica,,,2,2,13,1,,,,,,,,,,,,,,,,,,,,,,,,
1971,Igeografía,,,,,1,2,2,4,,,,,1,,,,,,,,,,,,,,,,,
1971,Igeología,,,3,,4,2,3,2,1,,2,,3,,,,,,,,,,,,,,,,,
1971,IIBIOMÉDICAS,,,9,,12,5,3,1,1,,1,2,1,2,,,,,,,,,,,,,,,,
1971,IM,,,9,,3,,2,,,,,,,,,,,,,,,,,,,,,,,
1971,IQ,,,7,,1,2,,,,,,,,,,,,,,,,,,,,,,,,
1971,Lab Nuclear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
