year,dep,eme_h,eme_m,tctita_h,tctita_m,tctib_h,tctib_m,tctic_h,tctic_m,mctia_h,mctia_m,mctib_h,mctib_m,mctic_h,mctic_m,tcasa_h,tcasa_m,tcasb_h,tcasb_m,tcasc_h,tcasc_m,mcasa_h,mcasa_m,mcasb_h,mcasb_m,mcasc_h,mcasc_m,ay_h,ay_m,tec_h,tec_m
1977,BN,,,1,,,,2,,,,,,,,1,1,1,1,,2,2,1,2,,,,,1,,
1977,HN,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,
1977,IIEc,,,2,1,1,1,2,,,,,,,,3,4,4,,4,2,1,,,,,,4,6,11,3
1977,IIE,,,,,,,,1,1,,,,,,1,1,,,2,1,2,,,,1,,,3,2,1
1977,IIF,1,,5,,,,2,1,,,,,,,,,,,,,,,1,,,,,,,2
1977,IIH,,,,,1,,2,2,,,,,,,,,1,2,,1,,3,,,2,,,,,3
1977,IIJ,1,,2,1,,,1,,,,,,,,,,4,,2,1,,,,,,,,,3,
1977,IIS,,,2,,,,4,1,,,,,,,6,4,4,5,3,,,,,,,,5,13,4,2
1977,IIFilológicas,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,1,
1977,CELiterarios,,,,1,,,,,,,,,,,1,2,1,,1,1,,,,,1,,1,7,,
1977,Centro de Lingüística Hispanica,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,,
1977,Centro de Estudios Clasicos,,,,1,,,,,,,,,,,,,1,,,,,,1,1,,,,,,
1977,Centro de Estudios Mayas,,,2,1,1,,,,,,,,,,,1,1,,1,1,,,,,,,3,3,,
1977,IIAntropología,,,1,3,1,,2,1,,,,,,,2,5,1,,2,,,,,,,,3,10,,1
1977,CIMateriales,,,4,,2,,4,,,,,,,,2,,5,,2,1,1,,,,,,5,1,9,1
1977,CEN,,,1,,1,1,,,,,,,,,5,1,2,1,2,1,,,,,,,,,1,2
1977,Centro de instrumentos,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,9,1
1977,Centro de informacion ientifica y humanistica,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,8,8
1977,centro de servicios de computo,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,1,
1977,Centro de ciencias del mar y limnologia,,,1,,,,,1,1,,,,,,8,1,8,,4,,,,,,,,1,,10,4
1977,IA,,,5,,1,,4,1,,,,,1,,1,1,4,2,2,1,,,,,,,4,3,15,4
1977,Ibio,,,7,3,1,1,4,3,,1,,,,,6,2,4,1,4,2,,,,,,1,1,,13,8
1977,JB,,,1,1,,,,,,,,,,,,,1,1,1,,,,,,,,,,1,2
1977,Tuxtlas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
1977,Chamela,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,
1977,IF,,,5,1,5,,8,1,,,,,,,5,,6,,4,2,,1,1,1,,,,,5,
1977,Igeofísica,,,6,,4,2,,2,,,,,,,10,3,8,3,7,,2,,,1,,,9,1,25,3
1977,Centro de Ceincias de la Atmosfera,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
1977,Igeografía,,,2,,,1,,1,,,,,,,5,7,2,2,1,2,,1,,,,,7,8,,
1977,Igeología,,,4,,,1,1,1,1,,,,,,12,3,5,2,2,,,2,,1,1,,,4,4,1
1977,CDICiencias de la Tierra,,,,,,,,,,,,,,,1,,,,1,,,,,,,,2,,1,
1977,IIBIOMÉDICAS,1,,4,,7,1,8,,,,,,,,2,2,7,2,5,4,1,1,1,,,,,,4,12
1977,IM,,,1,1,2,,9,1,,,,,,,1,,3,,,,,,,,,,2,1,,
1977,IQ,,,1,1,3,1,6,,,,,,,,2,,1,,1,,,,,,,,,,1,
1977,IIMAS,,,1,,6,1,1,,,,,,,,3,2,8,1,6,3,,,,,,,3,3,12,
1977,II,,,7,,6,,5,,3,,1,,1,,10,1,4,1,1,,,2,,,,,20,4,2,
1977,ENA,,,,,,,,,2,,,,,,,,,,,,1,1,,,,,,,,
1977,ENAP,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,FC,,,1,,,,,,,,,,,,1,,,,,1,,,,,,,1,,,1
1977,FCPyS,,,,,1,,,,,,,,,,,1,,,,,,,,,,,19,25,1,1
1977,FD,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,
1977,FE,,,1,,1,,2,1,,2,,,,,,,,,,,,,,,,,6,5,,
1977,FFyL,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,3,1,
1977,FI,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,
1977,FM ,,,1,1,,,,,,,,,,,,1,,1,,1,,,,,,,3,4,1,1
1977,FP,,,1,,,,2,,,,,,,,2,,,1,,,1,,1,,,,6,12,12,7
1977,FQ,,,,,,,,,,,,,,,,,1,,,,,,,,,,4,2,,1
1977,CELE,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,
1977,CUEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,ENEPC,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,ENEPAc,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
1977,ENEPAr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,ENEPZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2
1977,CCH,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1978,BN,,,,,,,2,,,,,,,,1,1,1,,,2,2,1,2,1,,,1,1,,
1978,HN,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,1
1978,IIEc,,,3,,1,1,4,,,,,,,,3,5,3,1,2,1,1,,,,,,5,4,11,3
1978,IIE,,,,,,,1,1,1,,,,,,,1,1,1,3,1,2,,1,,1,,1,3,3,1
1978,IIF,,,5,,,,3,,,,,,,,,,,,,,,,1,1,,,,,,2
1978,IIH,,,,,,,2,1,,,,,,,,,,1,,1,,3,,,2,,,,,2
1978,IIJ,1,,2,1,,,1,,,,,,,,1,,5,,2,1,,,,,,,,,3,1
1978,IIS,,,3,,,,,4,1,,,,,,5,6,3,5,3,,,,,,,,9,12,5,
1978,IIFilológicas,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,1,
1978,CELiterarios,,,,1,,,,,,,,,,,2,1,1,,1,1,,,,,,,,9,,
1978,Centro de Lingüística Hispanica,,,,,,,1,,,,,,,,,1,,,,,,,,,1,1,,,,
1978,Centro de Estudios Clasicos,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,
1978,Centro de Estudios Mayas,,,1,,1,,,,,,,,,,,2,1,1,1,1,,,,,,,2,4,,
1978,IIAntropología,,,2,3,1,,2,,,,,,,,2,4,1,,,,,,,,,,6,10,1,1
1978,Ccatmosfera,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,
1978,CIMateriales,,,6,,2,,2,1,,,,,,,2,,7,,2,1,1,,,,,,3,,9,1
1978,CEN,,,2,,1,1,,,,,,,,,5,3,1,1,3,1,,,,,,,,,1,2
1978,Centro de instrumentos,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,10,1
1978,Centro de informacion ientifica y humanistica,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,9,9
1978,centro de servicios de computo,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,1,
1978,Centro de ciencias del mar y limnologia,,,1,,,,,1,,,,,,,8,1,9,,4,,,,,,,,2,,7,4
1978,IA,,,4,,,,4,1,,,,,1,,1,1,4,2,2,1,,,,,,,2,2,12,4
1978,Observatorio Astronómico Nacional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,
1978,Ibio,,,,,1,,,,,,,,,,5,2,5,,5,1,,,,,,1,2,,9,12
1978,JB,,,9,1,2,,4,4,,,,,,,1,1,1,1,1,,,,,,,,,,3,2
1978,Tuxtlas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
1978,Chamela,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,
1978,IF,,,6,1,4,,10,,,,1,,,,5,1,8,,3,1,,,1,1,,,,,5,1
1978,Igeofísica,,,4,,5,1,1,2,,,,,,,13,2,6,2,6,,2,,,1,,,11,1,26,2
1978,Igeografía,,,3,,,1,,1,,,,,,,4,9,3,4,,2,,1,,,,,6,9,,
1978,Igeología,,,4,1,,1,1,1,1,,,,,,10,2,5,3,3,,,2,,,1,,,5,4,2
1978,CDICiencias de la Tierra,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,1,
1978,OficReg noro Hermosillo,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
1978,IIBIOMÉDICAS,1,,6,,6,,4,,,,,,,,2,1,6,3,4,5,1,1,1,,,,,,9,12
1978,IM,,,1,2,,,,,,,4,,,,1,,3,,9,,,,,,,,2,1,,
1978,IQ,,,1,1,3,1,5,,,,,,,,2,,1,,1,,,,,,,,,,2,
1978,IIMAS,,,4,,8,,1,,,,,,,,3,2,9,1,6,2,,,,,,,4,2,14,
1978,II,,,6,,11,,8,,3,,1,,2,,10,,8,1,3,,1,,2,,,,22,4,2,
1978,ENA,,,,,,,,,2,,,,,,,,,,,,1,,1,,,,,,,
1978,ENAP,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978,FC,,,1,,,,1,,,,,,,,,,,,,1,,,,,,,,,1,
1978,FCPyS,,,,,,,,,1,,,,,,,,,,,,,,,,,,24,26,3,1
1978,FD,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,
1978,FE,,,2,,1,,2,1,1,2,,,,,,,,,,,,,,,,,6,3,,
1978,FFyL,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,1
1978,FI,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,1,
1978,FM ,,,1,,,,,,,,,,,,1,1,1,,,1,,,,,,,6,4,3,1
1978,FP,,,1,,,,2,,,,,,,,2,,,1,,,2,,,1,,,5,10,9,6
1978,FQ,,,,,,,,,,,,,,,,,1,,,,,,,,,,,3,,
1978,CELE,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,1,,
1978,CUEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978,ENEPC,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978,ENEPAc,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,2,1
1978,ENEPZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2
1978,CCH,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
1979,BN,,,,2,1,,2,,,,,,,,,,1,1,,2,1,1,1,1,,,3,1,,
1979,HN,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,
1979,IIEc,,,3,,1,1,4,,,,,,,,4,5,9,2,5,2,1,,,,,,6,3,7,3
1979,IIE,,,,1,,,1,4,2,,,,,,2,2,2,2,3,,2,,1,,1,,2,2,4,2
1979,IIF,,,2,,1,,5,,,,,,,,,,,,,,,,1,,,,,,3,1
1979,IIH,,,2,,1,,2,1,,,,,,,1,,1,1,2,1,1,2,,,2,,,,,1
1979,IIJ,1,,4,1,,,1,,1,,,,,,,,7,1,5,1,,,,,1,,,,3,1
1979,IIS,,,2,1,,,5,1,,,,,,,7,7,4,5,4,,,,,,,,7,12,5,
1979,IIFilológicas,,,,,1,,2,,,,,,,,,,,,,1,,1,,,,,,,,
1979,CELiterarios,,,1,,1,,,,,,,,,,2,1,1,1,1,1,,,,,,,2,8,,
1979,Centro de Lingüística Hispanica,,,1,,,,,,,,,,,,,,,,,2,,,,,1,1,,,,
1979,Centro de Estudios Clasicos,,,2,1,,,1,,,,,,,,,,,,5,1,,,,1,1,,,,,
1979,Centro de Estudios Mayas,,,1,,1,,,,,,,,,,,3,1,2,2,,,,,,,,,,,
1979,IIAntropología,,,3,2,3,1,2,,,,,,,,4,5,1,,1,,,,,,,,5,8,,1
1979,Ccatmosfera,,,2,,1,,2,,,,,,1,,6,,1,,4,,,,1,1,,,4,1,2,2
1979,CIMateriales,,,9,1,2,,5,,,,,,,,7,,15,,7,1,1,,,,,,2,1,11,1
1979,CEN,,,2,,3,1,1,,,,,,,,2,3,3,1,3,1,,,,,,,,,1,1
1979,Centro de instrumentos,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,20,2
1979,Centro de informacion ientifica y humanistica,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,8,6
1979,centro de servicios de computo,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,
1979,Centro de ciencias del mar y limnologia,,,2,,,,1,1,,,,,,,13,,12,,9,,,,,,,,2,,4,1
1979,IA,,,3,1,4,,5,1,,,,,1,,1,2,2,2,2,1,,,,,,,1,2,8,4
1979,Observatorio Astronómico Nacional,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,4,
1979,Ibio,,,8,4,9,2,9,4,,,,,,,6,4,9,4,6,3,,,,,,1,2,1,4,5
1979,JB,,,,,,,,,,,,,,,1,1,,1,1,,,,,,,,,,1,1
1979,Tuxtlas,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
1979,Chamela,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
1979,IF,,,12,1,6,,18,,,,1,,,,4,1,12,2,11,1,,,,,,,,,7,1
1979,Igeofísica,,,3,1,2,2,1,1,,,,,,,6,3,9,1,5,,1,,,,,,6,,17,
1979,Igeografía,,,3,2,1,1,,2,,,,,,,6,10,4,4,,3,,1,,,,,1,6,4,1
1979,Igeología,,,3,1,3,1,3,1,1,,,,1,,14,2,11,3,6,,,2,,,1,,,5,4,1
1979,CDICiencias de la Tierra,,,1,,,,,,,,,,,,1,,,,,,,,,,,,1,,,
1979,OficReg noro Hermosillo,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
1979,IIBIOMÉDICAS,1,,8,1,6,,10,1,,,,,,,3,2,6,2,3,4,1,1,,,,,,,7,12
1979,IM,,,3,2,5,1,9,,,,,,,,,,3,1,5,,,,,,,,3,,,
1979,IQ,,,9,1,3,1,7,,,,,,,,5,,3,,1,,,,,,,,,,,
1979,IIMAS,,,5,,10,2,1,,,,,,,,4,2,12,2,7,2,,,,,,,4,3,,
1979,II,,,13,,12,,8,,1,,1,2,,,20,,11,1,8,,2,,2,,2,,11,3,,
1979,ENA,,,,,,,,,2,,2,1,,,,,,,,,,,,,1,,,,,
1979,ENAP,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,FC,,,2,,1,1,2,,,,,,,,,,,,1,1,,,,,,,1,1,,
1979,FCPyS,,,,,1,,,,,,,,,,,,,,,,,,,,,,24,30,,
1979,FD,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
1979,FE,,,1,,2,,1,,,1,,,,,,,,,,,,,,,,,2,6,,
1979,FFyL,,,,1,,,1,,,,,,,,,,1,,,,,1,,,,,,,,
1979,FI,,,1,,2,,,,,,,,,,,,,1,1,,,,,,,,,,1,
1979,FM ,,,2,1,,,,,,,,,,,1,1,1,,,1,,1,,,,,2,4,1,1
1979,FP,,,1,,,,2,,,,,,,,4,,,1,,,1,1,,1,,,8,18,2,
1979,FQ,,,,,,,,,,,,,,,1,,2,,,,,,,,,,6,1,,
1979,EPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,CUEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,ENEPC,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,
1979,ENEPAc,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,
1979,ENEPZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,ENP,,,,,1,,,,,,,1,,,,1,,,,,,2,,,1,,,,,1
1979,CCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
1980,IIB,,,,4,1,,1,,1,,,,,,1,,2,1,1,1,1,1,1,,1,,3,3,1,3
1980,IIEc,,,4,,3,,6,,,,,,,,4,6,8,3,4,4,,,,,,,5,6,8,3
1980,IIE,,,3,1,,,1,4,1,,,,,,3,3,1,,2,2,1,,2,,1,,,2,4,6
1980,IIF,,,3,,1,,5,1,,,,,,,,2,,2,,,,,1,,1,,,,1,2
1980,IIH,,,2,,,,4,1,,,,,,,1,,1,1,2,,,3,,1,2,,,,4,1
1980,IIJ,,,5,2,1,,4,,,1,,,,,1,,4,,7,1,,,1,,2,,,,2,
1980,IIS,,,2,1,4,,4,1,,,,,,,5,7,7,5,3,1,,,,,,,9,15,5,
1980,IIFilológicas,,1,2,1,3,1,4,1,,,,,,,4,4,4,,8,7,2,2,,1,3,1,2,1,2,5
1980,IIAntropología,,,3,1,2,,1,,,,,,,,5,9,1,1,1,,,,,,,,5,5,1,1
1980,IA,,,5,,5,,6,1,,,,,,,1,2,4,,4,4,,,,,,,3,,11,5
1980,Ibio,,,8,3,4,1,5,3,,,,,,,8,1,16,2,9,1,,,1,,1,,3,1,16,7
1980,IF,,,16,2,9,2,23,,,,,,,,1,2,12,1,11,2,,,1,1,,,2,,8,1
1980,Igeofísica,,,2,,2,1,2,1,,,,,,,5,1,9,,10,,,,,,,,1,,18,
1980,Igeografía,,,3,1,3,,,1,,,,,,,9,4,7,5,2,5,,3,,,,,7,6,1,
1980,Igeología,,,7,1,3,1,3,1,,,,,1,,8,1,12,6,8,,2,,1,,,,,4,8,4
1980,IIBIOMÉDICAS,,,9,1,5,,17,1,,,,,,,1,3,7,6,6,5,1,2,1,,,,,,12,18
1980,IM,,,5,2,5,1,9,,,,,,,,,,6,1,6,1,,,,,,,,,4,1
1980,IQ,,,5,1,5,,8,1,,,,,,,5,,4,,1,,,,,,,,,,13,2
1980,IIMAS,,,10,1,10,1,3,,,,,,,,3,1,12,2,15,,,,,,,,3,3,11,1
1980,II,,,14,,12,,9,,1,,1,,2,,13,,19,1,12,1,1,,4,,1,,8,3,12,1
1980,IIMateriales,,,9,2,3,,5,,,,,,,,3,3,14,1,12,,,,,,,,1,,15,1
1980,ENA,,,,,1,,,,2,,1,,,,,,,,,,,,,,2,,,,,
1980,ENAP,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,FC,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1980,FCPyS,,,,,,,1,,,,,,,,,,,,,,,,,,,,24,31,,
1980,FE,,,1,,2,,,1,,1,,,,,,,,,,,,,,,,,4,8,,
1980,FFyL,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,1
1980,FI,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
1980,FM ,,,1,,,,,,,,,,,,1,,1,,,,,,,,,,1,4,,1
1980,FMVZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,FP,,,1,,,,3,,,,,,,,4,1,,1,,,2,2,1,1,,,13,14,1,1
1980,FQ,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,
1980,CELE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,ENEPC,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,
1980,ENEPAc,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,2,1
1980,ENEPZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1
1980,CUEC,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
